Brand,Core_Model,Specifications,Year,Fuel,Mileage,Price
kia,Sportage,Gt-Line,2023.0,Hybride,40000.0,149000
kia,Rio,5P Sx,2020.0,Essence,35000.0,58500
kia,Rio,5P Sx,2019.0,Essence,68954.0,54000
kia,Rio,5P Gt-Line,2023.0,Essence,9000.0,73000
kia,Sportage,Gt-Line,2024.0,Hybride,15000.0,188000
kia,Rio,5P Gt-Line,2021.0,Essence,70000.0,62000
kia,Rio,5P Sx,2020.0,Essence,70000.0,57500
kia,Sorento,,2016.0,Diesel,120000.0,95000
kia,Sportage,,2018.0,Diesel,140000.0,118000
kia,Rio,5P Sx Plus,2020.0,Essence,99000.0,53000
kia,Picanto,Populaire,2021.0,Essence,3805.0,43000
kia,Seltos,,2021.0,Essence,130000.0,89000
kia,Rio,5P Gt-Line,2021.0,Essence,60000.0,65000
kia,Rio,Berline,2016.0,Essence,163746.0,35000
kia,Sportage,Gt-Line,2019.0,Diesel,119000.0,98000
kia,Sportage,,2019.0,Essence,69000.0,95000
kia,Picanto,Gt-Line,2022.0,Essence,63000.0,54500
kia,Sportage,,2020.0,Essence,40000.0,119000
kia,Sportage,,2019.0,Essence,125000.0,85000
kia,Sportage,,2020.0,Hybride,140000.0,98000
kia,Sportage,,2020.0,Hybride,53000.0,120000
kia,Rio,5P,2021.0,Essence,51000.0,62000
kia,Sportage,,2019.0,Essence,127000.0,83500
kia,Rio,5P Gt-Line,2021.0,Essence,64000.0,64000
kia,Sportage,Gt-Line,2021.0,Hybride,120000.0,119000
kia,Sportage,Gt-Line,2017.0,Diesel,140000.0,105000
kia,Sportage,Gt-Line,2021.0,Diesel,19000.0,128000
kia,Sportage,,2021.0,Hybride,114000.0,107000
kia,Rio,5P,2022.0,Essence,85000.0,59700
kia,Sportage,,2022.0,Essence,23000.0,143000
kia,Sportage,Black Edition,2018.0,Essence,117000.0,78000
kia,Sportage,Gt-Line,2023.0,Hybride,36000.0,150000
kia,Rio,Berline,2020.0,Essence,90500.0,52000
kia,Picanto,,2021.0,Essence,28000.0,46500
kia,Sportage,,2017.0,Essence,160000.0,75000
kia,Sportage,Gt-Line,2018.0,Diesel,139000.0,95000
kia,Cerato,,2015.0,Essence,14400.0,39500
kia,Picanto,,2021.0,Essence,28000.0,46500
kia,Picanto,1 Ère Main,2024.0,Essence,0.0,61000
kia,Picanto,,2021.0,Essence,77000.0,40000
kia,Sportage,1.6L,2018.0,Diesel,105000.0,89000
kia,Rio,,2021.0,Essence,90000.0,55500
kia,Rio,5P,2019.0,Essence,145000.0,51000
kia,Picanto,,2020.0,Essence,74000.0,42300
kia,Rio,,2021.0,Essence,170000.0,48500
kia,Rio,,2024.0,Essence,48000.0,61500
land rover,Range Rover,Evoque,2019.0,Hybride,40000.0,195000
land rover,Range Rover,Sport,2014.0,Diesel,160000.0,245000
land rover,Range Rover,Sport,2007.0,Diesel,208000.0,85000
land rover,Discovery,Sport,2017.0,Diesel,128000.0,128000
land rover,Range Rover,Sport,2017.0,Diesel,90000.0,230000
land rover,Discovery,,2015.0,Essence,170000.0,115000
land rover,Range Rover,Evoque Face_Lift,2016.0,Essence,170000.0,95000
land rover,Range Rover,Velar R-Dynamic,2020.0,Essence,90000.0,295000
land rover,Range Rover,Velar R-Dynamic,2019.0,Essence,33000.0,268000
land rover,Discovery,,2016.0,Essence,110000.0,125000
land rover,Range Rover,Evoque,2018.0,Diesel,145000.0,120000
land rover,Range Rover,Sport,2019.0,Hybride,100000.0,340000
land rover,Range Rover,Sport,2015.0,Essence,190000.0,200000
land rover,Range Rover,Sport Hse Dynamic,2016.0,Diesel,300000.0,189000
land rover,Discovery,Sport,2016.0,Diesel,94000.0,118000
land rover,Range Rover,Evoque,2019.0,Hybride,50000.0,187000
land rover,Discovery,,2017.0,Diesel,130000.0,126000
land rover,Range Rover,Evoque R-Dynamic,2021.0,Diesel,59000.0,169000
land rover,Range Rover,Sport,2014.0,Essence,180000.0,178000
land rover,Discovery,Sport,2017.0,Diesel,160000.0,125000
land rover,Range Rover,Evoque R-Dynamic,2016.0,Diesel,150000.0,122000
land rover,Range Rover,Evoque Hse,2022.0,Hybride,60000.0,255000
land rover,Discovery,R-Dynamic,2020.0,Diesel,87000.0,235000
land rover,Range Rover,Sport Autobiography,2021.0,Hybride,60000.0,385000
land rover,Range Rover,Evoque R-Dynamic S,2021.0,Hybride,59000.0,218000
land rover,Range Rover,Evoque,2019.0,Hybride,60000.0,210000
land rover,Range Rover,Sport,2020.0,Hybride,37000.0,350000
land rover,Range Rover,Velar R-Dynamic,2019.0,Diesel,100000.0,350000
land rover,Range Rover,Velar R-Dynamic,2020.0,Diesel,55000.0,258000
mercedes-benz,Classe C,La,2014.0,Essence,170000.0,77500
mercedes-benz,Classe C,Amg,2022.0,Essence,40000.0,208000
mercedes-benz,Classe C,Coupé Amg,2019.0,Hybride,86000.0,178000
mercedes-benz,Glc,Coupé,2020.0,Hybride,70000.0,245000
mercedes-benz,Classe G,,2010.0,Diesel,168000.0,350000
mercedes-benz,Classe C,Amg,2014.0,Essence,170000.0,115000
mercedes-benz,Gla,Amg,2016.0,Essence,74000.0,113000
mercedes-benz,Cla,Amg,2020.0,Essence,20000.0,169000
mercedes-benz,Classe A,,2021.0,Hybride,66000.0,145000
mercedes-benz,Classe C,,2021.0,Essence,9000.0,173000
mercedes-benz,Classe E,,2010.0,Essence,197000.0,67000
mercedes-benz,Classe E,180,2018.0,Essence,90000.0,135000
mercedes-benz,Classe E,Coupé,2018.0,Hybride,86000.0,340000
mercedes-benz,Classe E,Business,2022.0,Essence,8000.0,291800
mercedes-benz,Classe A,Amg,2022.0,Essence,20000.0,158000
mercedes-benz,Classe C,Amg,2014.0,Essence,160000.0,99000
mercedes-benz,Classe A,,2002.0,Essence,100000.0,25000
mercedes-benz,Glc,Coupé,2023.0,Essence,6600.0,360000
mercedes-benz,Classe E,,2022.0,Essence,9000.0,245000
mercedes-benz,Classe E,200,2010.0,Essence,330000.0,51000
mercedes-benz,Classe E,E220,2011.0,Diesel,330000.0,77000
mercedes-benz,Classe C,Amg,2023.0,Essence,16000.0,240000
mercedes-benz,Cla,,2014.0,Essence,163000.0,81000
mercedes-benz,Classe S,,2020.0,Hybride,40000.0,450000
mercedes-benz,Cla,Amg,2021.0,Essence,30000.0,169000
mercedes-benz,Classe A,,2002.0,Essence,10000.0,220000
mercedes-benz,Classe A,180D,2019.0,Diesel,50000.0,98000
mercedes-benz,Classe C,Amg,2022.0,Essence,40000.0,205000
mercedes-benz,Cla,,2021.0,Hybride,69000.0,174000
mercedes-benz,Classe C,Amg,2022.0,Essence,50000.0,264200
mercedes-benz,Glc,,2016.0,Essence,83000.0,158000
mercedes-benz,Glc,Coupé,2024.0,Essence,0.0,400000
mercedes-benz,Classe C,,2012.0,Essence,159000.0,73500
mercedes-benz,Glc,Coupé Amg,2021.0,Hybride,47000.0,260000
mercedes-benz,Classe S,Executive,2008.0,Essence,170000.0,78000
mercedes-benz,Classe S,,2015.0,Hybride,79000.0,195000
mercedes-benz,Classe C,Coupé Amg,2019.0,Essence,40000.0,179000
mercedes-benz,Cla,,2020.0,Diesel,93000.0,148000
mercedes-benz,Classe A,Amg,2022.0,Essence,15000.0,172000
mercedes-benz,Ml,,2010.0,Diesel,231000.0,88000
mercedes-benz,Classe S,S350. Toit Ouvrant,2009.0,Essence,147000.0,98000
mercedes-benz,Classe C,,2013.0,Essence,180000.0,66000
mercedes-benz,Classe C,Amg,2018.0,Hybride,54000.0,165000
mercedes-benz,Classe C,Amg,2020.0,Hybride,69000.0,165000
mercedes-benz,Ml,,2007.0,Diesel,250000.0,58000
mercedes-benz,Classe C,Amg,2022.0,Essence,32000.0,197000
mercedes-benz,Cla,,2021.0,Diesel,60000.0,145000
mercedes-benz,Classe A,Amg,2014.0,Essence,180000.0,68500
mercedes-benz,Glc,Coupé Amg,2024.0,Essence,0.0,420000
mercedes-benz,Classe C,,2014.0,Essence,200000.0,105000
mercedes-benz,Classe A,Berline Amg,2020.0,Essence,100000.0,132000
mercedes-benz,Cla,Amg,2024.0,Essence,0.0,220000
mercedes-benz,Gle,Coupé,2022.0,Hybride,30000.0,450000
mercedes-benz,Classe E,Amg,2020.0,Hybride,70000.0,260000
mercedes-benz,Glc,Coupé Amg,2021.0,Hybride,80000.0,270000
mercedes-benz,Classe C,Amg +,2021.0,Essence,60000.0,174000
mercedes-benz,Cla,,2017.0,Diesel,130000.0,115000
mercedes-benz,Glc,Coupé Amg,2021.0,Hybride,50000.0,259000
mercedes-benz,Glc,Amg,2018.0,Hybride,130000.0,197000
mercedes-benz,Classe E,,2020.0,Diesel,158000.0,168000
mercedes-benz,Gla,Amg,2018.0,Essence,30000.0,122000
mercedes-benz,Classe C,,2014.0,Essence,207600.0,78000
mercedes-benz,Cla,Amg,2020.0,Essence,100000.0,144900
mercedes-benz,Classe A,,2020.0,Essence,50000.0,108000
mercedes-benz,Classe C,Amg +,2024.0,Hybride,11000.0,248000
mercedes-benz,Classe C,Coupé Amg,2019.0,Essence,120000.0,145000
mercedes-benz,Classe E,,2010.0,Essence,197000.0,67000
mercedes-benz,Glc,Coupé Amg,2016.0,Essence,106000.0,225000
mercedes-benz,Gla,Amg,2023.0,Essence,20000.0,189000
mercedes-benz,Cla,Amg,2023.0,Essence,30000.0,188000
mercedes-benz,Classe A,A 200,2018.0,Essence,57000.0,124000
mercedes-benz,Classe E,Amg,2011.0,Essence,135000.0,77000
mercedes-benz,Classe C,Amg,2022.0,Essence,80000.0,215000
mercedes-benz,Classe C,Amg,2019.0,Diesel,80000.0,148000
mercedes-benz,Cla,Amg,2020.0,Hybride,42000.0,169000
mercedes-benz,Glc,Coupé Amg,2024.0,Essence,0.0,415000
mercedes-benz,Classe E,Amg,2024.0,Hybride,0.0,450000
mercedes-benz,Classe C,Amg,2011.0,Essence,200000.0,71000
mercedes-benz,Classe C,Amg,2020.0,Hybride,35000.0,205000
mercedes-benz,Classe A,A200,2024.0,Hybride,8000.0,169000
mercedes-benz,Classe C,Amg,2016.0,Essence,175000.0,109000
mercedes-benz,Cla,Amg,2021.0,Hybride,25000.0,170000
mercedes-benz,Classe A,Amg,2020.0,Hybride,35000.0,135000
mercedes-benz,Glc,Coupé Amg,2020.0,Hybride,69000.0,278000
mercedes-benz,Classe E,Amg,2024.0,Hybride,0.0,435000
mercedes-benz,Glb,Amg,2023.0,Essence,16000.0,184000
mercedes-benz,Classe A,Amg,2021.0,Essence,60000.0,115000
mercedes-benz,Classe C,Amg,2016.0,Essence,180000.0,99500
mercedes-benz,Classe C,Amg,2019.0,Essence,135000.0,161300
mercedes-benz,Classe A,,2021.0,Essence,90000.0,110000
mercedes-benz,Classe E,Coupé Amg,2010.0,Essence,180000.0,68000
mercedes-benz,Classe S,S 350 Phase 2,2010.0,Essence,165000.0,122000
mercedes-benz,Classe C,180 Elegance,2016.0,Essence,170000.0,89000
mercedes-benz,Glc,Coupé Amg,2020.0,Hybride,82415.0,230000
mercedes-benz,Cla,220,2013.0,Diesel,240000.0,79000
mercedes-benz,Classe,X,2020.0,Diesel,68000.0,205000
mercedes-benz,Classe C,Amg,2023.0,Essence,50000.0,235000
mercedes-benz,Cla,Kit Amg 200,2020.0,Essence,150000.0,129000
mercedes-benz,Classe,B,2014.0,Essence,100000.0,48000
mercedes-benz,Glc,Coupé Amg,2017.0,Diesel,190000.0,189000
mercedes-benz,Gla,250E Pack Amg,2023.0,Hybride,26000.0,225000
mercedes-benz,Classe C,Pack Amg Pack Night,2019.0,Hybride,120000.0,152000
mercedes-benz,Gla,Amg,2021.0,Essence,90000.0,173000
mercedes-benz,Cla,Kit Amg,2014.0,Essence,124000.0,83000
mercedes-benz,Classe C,Coupé Amg,2012.0,Essence,200000.0,63000
mercedes-benz,Cla,Urban,2018.0,Essence,125043.0,97000
mercedes-benz,Classe A,Amg,2019.0,Diesel,96000.0,118000
mercedes-benz,Classe C,Amg,2019.0,Hybride,120000.0,152000
mercedes-benz,Gle,Coupé,2020.0,Diesel,54000.0,420000
mercedes-benz,Classe C,,2022.0,Essence,7300.0,245000
mercedes-benz,Glb,200 D,2021.0,Diesel,111000.0,210000
mercedes-benz,Classe C,Coupé Amg,2018.0,Essence,130000.0,167000
mercedes-benz,Gla,Amg,2023.0,Essence,12000.0,235000
mercedes-benz,Classe C,Amg +,2015.0,Essence,146000.0,135000
mercedes-benz,Classe C,,2015.0,Essence,158000.0,99000
mercedes-benz,Cla,,2021.0,Essence,87000.0,149000
mercedes-benz,Cla,Importée Tn245,2020.0,Diesel,138000.0,118000
mercedes-benz,Cla,Amg,2020.0,Diesel,138000.0,145000
mercedes-benz,Classe E,Amg,2019.0,Essence,55001.0,165000
mercedes-benz,Classe C,Amg +,2024.0,Essence,0.0,275000
mercedes-benz,Classe C,Amg,2023.0,Essence,20000.0,255100
mercedes-benz,Gla,La Nouvelle Gla 250E Amg,2023.0,Hybride,10730.0,235000
mercedes-benz,Classe C,Amg,2011.0,Essence,249000.0,65000
mercedes-benz,Classe C,,2021.0,Essence,30570.0,178000
mercedes-benz,Cla,Amg,2024.0,Hybride,1000.0,225000
mercedes-benz,Cla,Amg,2023.0,Hybride,18500.0,185000
mercedes-benz,Classe A,Amg,2018.0,Essence,68000.0,135000
mercedes-benz,Classe C,Amg,2019.0,Diesel,145000.0,145000
mercedes-benz,Gla,180 Pack Amg,2022.0,Essence,40000.0,185000
mercedes-benz,Classe A,Amg,2019.0,Diesel,141000.0,119000
mercedes-benz,Glc,Coupé,2020.0,Diesel,52000.0,240000
mercedes-benz,Cla,Amg,2024.0,Hybride,6000.0,220000
mercedes-benz,Classe A,Amg Premium,2013.0,Essence,131000.0,78000
mercedes-benz,Cls,Amg,2011.0,Diesel,160000.0,119000
mercedes-benz,Classe C,,2013.0,Essence,235000.0,55500
mercedes-benz,Classe C,Avantgarde,2022.0,Essence,27000.0,159000
mercedes-benz,Classe E,Amg,2023.0,Essence,10776.0,390000
mercedes-benz,Classe C,Coupé Amg,2019.0,Essence,50000.0,173000
mercedes-benz,Classe C,Amg,2022.0,Essence,50893.0,185000
mercedes-benz,Cla,Amg Edition 1,2021.0,Hybride,31235.0,169900
mercedes-benz,Classe C,Amg,2014.0,Essence,164000.0,89000
mercedes-benz,Classe E,1.6L,2017.0,Essence,132000.0,138000
mercedes-benz,Glc,Amg,2017.0,Essence,115000.0,169000
mg,Zs,,2024.0,Essence,13.0,90000
mg,Hs,Trophy,2022.0,Essence,111000.0,90000
mg,Gs,Luxe Plus,2017.0,Essence,100000.0,61000
mg,Hs,Trophy,2021.0,Essence,35000.0,103000
mg,Gs,Luxe,2017.0,Essence,115000.0,62000
mg,Zs,,2019.0,Essence,65000.0,65000
mg,Zs,Luxury,2022.0,Essence,20000.0,72000
mg,5,,2022.0,Essence,37000.0,58000
mg,Zs,Confort Plus,2019.0,Essence,141000.0,58000
mg,Hs,Luxury,2020.0,Essence,87000.0,77900
mg,6,,2021.0,Essence,22000.0,79000
mg,Zs,,2022.0,Essence,35000.0,78000
mg,Zs,Luxury,2022.0,Essence,80000.0,75000
mg,Zs,,2021.0,Essence,110000.0,58000
mini,3,Portes One,2009.0,Essence,200000.0,29000
mini,3,Portes John Cooper Works,2017.0,Essence,100000.0,63000
mini,Cabrio,,2010.0,Essence,86111.0,48000
mini,5,Portes Très Bon État,2016.0,Essence,160000.0,49800
mini,3,Portes One,2013.0,Essence,140000.0,37000
mini,Countryman,All4,2020.0,Hybride,33000.0,139500
mini,Clubman,,2019.0,Essence,34000.0,100000
mini,5,Portes,2015.0,Essence,75000.0,58000
mini,5,Portes One,2016.0,Essence,78000.0,57000
mini,5,Portes,2021.0,Essence,18000.0,135000
nissan,Micra,,2013.0,Essence,160000.0,26000
nissan,Qashqai,,2011.0,Essence,147000.0,43000
nissan,Juke,,2015.0,Essence,160000.0,39500
nissan,Micra,,2017.0,Essence,130000.0,29500
nissan,Juke,Tekna,2014.0,Essence,163166.0,51000
nissan,Juke,Tekna,2021.0,Essence,53000.0,87000
nissan,Qashqai,,2022.0,Essence,26000.0,95000
nissan,Juke,,2023.0,Essence,27000.0,82000
nissan,Qashqai,,2016.0,Diesel,147000.0,56000
nissan,Micra,,2020.0,Essence,74300.0,33800
nissan,Navara,,2012.0,Diesel,315000.0,47000
nissan,Juke,Tekna,2024.0,Essence,6000.0,92500
peugeot,208,Style,2020.0,Diesel,128000.0,45500
peugeot,508,,2012.0,Essence,268000.0,30000
peugeot,Partner,,2020.0,Diesel,70000.0,78000
peugeot,3008,,2019.0,Essence,100000.0,66500
peugeot,508,,2020.0,Essence,46000.0,85000
peugeot,307,,2007.0,Essence,110451.0,25500
peugeot,308,,2023.0,Diesel,48000.0,126000
peugeot,308,,2020.0,Essence,102000.0,50000
peugeot,2008,Allure Toit Cielo Blanc Nacré,2018.0,Essence,125000.0,50000
peugeot,2008,Allure,2022.0,Essence,34000.0,97000
