Title,Mileage,Year,Transmission,Fuel,Price
BMW Série 4 Gran Coupé,53 000,2020,Automatique,Essence,107 000
Hyundai Grand i10 Sedan,150 000,2017,Manuelle,Essence,30 000
Mercedes-Benz Classe C AMG +,146 000,2015,Automatique,Essence,135 000
Volkswagen Golf 8 Active,69 000,2021,Manuelle,Essence,95 000
Mercedes-Benz GLE Coupé,54 000,2020,Automatique,Diesel,420 000
Mazda CX-5 High Grade,63 000,2019,Automatique,Essence,115 000
MG ZS,65 000,2019,Automatique,Essence,65 000
Seat Leon,61 847,2020,Manuelle,Essence,70 000
Mercedes-Benz CLA Urban,125 043,2018,Automatique,Essence,97 000
KIA Sportage Hybride GT-Line,36 000,2023,Automatique,Hybride,150 000
KIA Rio 5p SX,68 954,2019,Manuelle,Essence,54 000
Volkswagen Golf 7 Highline,26 043,2016,Manuelle,Essence,75 000
Volkswagen Golf 8 Life,70 001,2020,Manuelle,Essence,87 000
Toyota Land Cruiser,142 060,2010,Automatique,Diesel,175 000
Volkswagen Golf 7 Confortline,169 452,2019,Automatique,Essence,69 000
BMW Série 1,131 766,2009,Automatique,Essence,40 000
Mercedes-Benz Classe E AMG,55 001,2019,Automatique,Essence,165 000
Mercedes-Benz Classe C AMG +,0,2024,Automatique,Essence,275 000
Mercedes-Benz GLA La nouvelle Gla 250e AMG,10 730,2023,Automatique,Hybride,235 000
Mercedes-Benz Classe E AMG,10 776,2023,Automatique,Essence,390 000
BMW X3 Luxury Line,186 000,2006,Automatique,Diesel,65 000
Mercedes-Benz Classe C AMG,50 893,2022,Automatique,Essence,185 000
KIA Picanto Populaire,3 805,2021,Manuelle,Essence,43 000
Lada 4x4 Urban,24 387,2018,Manuelle,Essence,36 000
Haval H6,12 442,2023,Automatique,Essence,126 000
Nissan Juke Tekna,163 166,2014,Automatique,Essence,51 000
Mitsubishi Pajero LIMITED EDITION,20 742,2023,Manuelle,Diesel,160 000
Mercedes-Benz CLA AMG Edition 1,31 235,2021,Automatique,Hybride,169 900
Peugeot 308 GT-Line GT-Line,96 300,2020,Manuelle,Diesel,64 000
Toyota Prado,199 425,2003,Manuelle,Diesel,129 000
Mini 5 portes,18 000,2021,Automatique,Essence,135 000
BMW Série 3 coupé,156 000,2010,Automatique,Essence,62 000
Mahindra KUV 100 K6+,63 000,2021,Manuelle,Essence,30 000
Haval Jolion 1 ere,30 000,2023,Automatique,Essence,93 000
Peugeot 308,48 000,2023,Automatique,Diesel,126 000
Volkswagen Tiguan R-Line,54 723,2023,Automatique,Essence,198 000
Peugeot Expert,139 199,2019,Manuelle,Diesel,59 000
Volkswagen Golf 8 R-Line,36 651,2022,Automatique,Hybride,138 000
Mini Cabrio,86 111,2010,Manuelle,Essence,48 000
KIA Picanto 1 ère main,0,2024,Automatique,Essence,61 000
Porsche Cayman S,39 508,2008,Manuelle,Essence,275 000
Seat Ibiza,99 519,2021,Manuelle,Essence,54 000
Toyota Land Cruiser,316 620,2003,Automatique,Diesel,119 000
Mercedes-Benz GLC Coupé AMG,82 415,2020,Automatique,Hybride,230 000
Mercedes-Benz Classe C AMG,249 000,2011,Automatique,Essence,65 000
Mercedes-Benz Classe C,30 570,2021,Automatique,Essence,178 000
Peugeot 3008,105 000,2017,Automatique,Essence,71 000
Mercedes-Benz CLA AMG,1 000,2024,Automatique,Hybride,225 000
Volkswagen Golf 8,85 181,2020,Manuelle,Essence,88 000
Volkswagen Golf 7 Join,86 000,2018,Manuelle,Essence,79 000
Volkswagen T-roc,74 107,2019,Manuelle,Essence,78 000
Renault Symbol,115 000,2020,Manuelle,Essence,36 000
Mercedes-Benz CLA AMG,18 500,2023,Automatique,Hybride,185 000
Mercedes-Benz Classe A AMG,68 000,2018,Automatique,Essence,135 000
BMW Série 3 Luxury,112 000,2013,Automatique,Essence,65 000
Audi Q5 S-line,176 000,2015,Automatique,Diesel,110 000
Mercedes-Benz Classe C AMG,145 000,2019,Automatique,Diesel,145 000
Peugeot 2008 Allure Toit Cielo Blanc Nacré,125 000,2018,Automatique,Essence,50 000
Mercedes-Benz Classe A AMG,141 000,2019,Automatique,Diesel,119 000
Volkswagen Golf 8 GTE,26 000,2021,Automatique,Hybride,145 000
Mercedes-Benz CLA AMG,6 000,2024,Automatique,Hybride,220 000
Mercedes-Benz Classe A AMG Premium,131 000,2013,Automatique,Essence,78 000
KIA Picanto,28 000,2021,Automatique,Essence,46 500
Ford Fusion Titanium,217 000,2016,Automatique,Essence,48 000
Mini 5 portes Très bon état,160 000,2016,Manuelle,Essence,49 800
BMW Série 3,180 000,2012,Manuelle,Essence,45 000
Seat Leon 1.2L,140 000,2018,Manuelle,Essence,60 000
Land Rover Range Rover Sport,190 000,2015,Automatique,Essence,200 000
Peugeot 3008 1.2L,70 000,2020,Automatique,Essence,89 000
Volkswagen Golf 8,58 000,2022,Manuelle,Essence,87 000
KIA Sportage 1.6L Diesel,105 000,2018,Manuelle,Diesel,89 000
Mercedes-Benz Classe C,235 000,2013,Manuelle,Essence,55 500
Audi Q5 2.0L,255 000,2009,Automatique,Essence,47 000
Volkswagen Golf 8,40 000,2023,Automatique,Essence,139 000
Mercedes-Benz Classe C AMG,164 000,2014,Automatique,Essence,89 000
Mercedes-Benz Classe E 1.6L,132 000,2017,Automatique,Essence,138 000
Seat Leon Xcellence,37 000,2023,Automatique,Essence,108 000
Jeep Wrangler 4.0L,200 000,1989,Manuelle,Essence,72 000
Renault Clio 1.0L,135 000,2021,Manuelle,Essence,38 500
Audi A3 Sportback 1.2L,125 000,2019,Manuelle,Essence,78 500
Cupra Formentor 1.5L,19 000,2022,Automatique,Hybride,119 000
Ford Fusion 1.6,90 000,2017,Manuelle,Essence,55 500
Mazda 3,124 000,2017,Manuelle,Essence,49 500
Nissan Juke,160 000,2015,Automatique,Essence,39 500
Volvo XC60 2.0L,18 000,2022,Automatique,Essence,227 000
Hyundai Grand i10 1.0L,57 000,2021,Manuelle,Essence,39 800
Skoda Fabia 1.6L,137 000,2018,Manuelle,Essence,43 000
BMW Série 5 520,182 000,2014,Automatique,Essence,75 000
Volkswagen Golf 8 1.5L,80 000,2021,Manuelle,Essence,93 000
BMW X2 S drive,74 000,2020,Automatique,Essence,132 000
Volkswagen Golf 7 Importé,40 000,2020,Manuelle,Essence,73 500
BMW X1 1.6L,126 000,2016,Automatique,Essence,85 000
BMW Série 1 M,40 000,2022,Automatique,Essence,138 500
Citroën Berlingo Utilitaire 1.6L,31 000,2023,Manuelle,Diesel,58 500
Citroën C3,92 000,2018,Manuelle,Essence,38 000
Citroën C3 Live,119 000,2019,Manuelle,Essence,34 500
Citroën C4,109 000,2012,Automatique,Essence,38 000
Peugeot 3008 Allure,38 000,2019,Automatique,Essence,88 000
Mercedes-Benz Classe C Avantgarde,27 000,2022,Automatique,Essence,159 000
Peugeot 3008 Allure,75 000,2020,Automatique,Essence,75 000
BMW X4,140 000,2018,Automatique,Diesel,139 000
Volkswagen Polo R-Line,70 000,2020,Manuelle,Essence,65 500
Volkswagen Golf 7 BVA,200 000,2020,Automatique,Essence,69 000
BMW Série 1 Pack Sport M,165 000,2016,Automatique,Essence,75 000
Hyundai Tucson Top Grade,40 000,2022,Automatique,Essence,147 000
Lada 4x4 Urban,58 000,2020,Manuelle,Essence,41 000
Mercedes-Benz Classe X,68 000,2020,Automatique,Diesel,205 000
Seat Arona Xperience,47 000,2022,Automatique,Essence,81 000
Toyota Corolla Dynamic,85 000,2020,Automatique,Essence,69 000
Fiat 500X Pop Star,60 000,2018,Automatique,Essence,65 000
Land Rover Discovery,170 000,2015,Automatique,Essence,115 000
Haval Jolion,40 000,2021,Automatique,Essence,88 000
Toyota C-HR,130 000,2018,Automatique,Essence,73 000
Nissan Juke Tekna,6 000,2024,Automatique,Essence,92 500
Mercedes-Benz Classe C AMG,20 000,2023,Automatique,Essence,Sous leasing                    255 100
Mercedes-Benz CLA Kit Amg 200,150 000,2020,Manuelle,Essence,129 000
Seat Ibiza Xcellence,68 000,2021,Manuelle,Essence,62 000
KIA Rio 5p SX,70 000,2020,Manuelle,Essence,57 500
MG ZS Luxury,20 000,2022,Automatique,Essence,72 000
Chery Tiggo 7 Pro,0,2024,Automatique,Essence,101 000
Audi Q3 BVA,3 000,2023,Automatique,Essence,165 000
Peugeot 408 GT,10 000,2024,Automatique,Essence,155 000
Jaguar XF Luxury,120 000,2014,Automatique,Essence,87 000
BMW Série 6 Face Lift,190 000,2009,Automatique,Essence,85 000
Land Rover Range Rover Sport HSE Dynamic,300 000,2016,Automatique,Diesel,189 000
KIA Rio 5p GT-Line,70 000,2021,Manuelle,Essence,62 000
KIA Sportage GT-Line,15 000,2024,Automatique,Hybride,188 000
Mercedes-Benz GLA 250e Pack AMG,26 000,2023,Automatique,Hybride,225 000
Mahindra Pick-up SC,120 000,2021,Manuelle,Diesel,39 000
Peugeot 3008,112 000,2020,Automatique,Essence,69 000
KIA Rio 5p GT-Line,9 000,2023,Manuelle,Essence,73 000
Mercedes-Benz Classe C Pack AMG Pack night,120 000,2019,Automatique,Hybride,152 000
Peugeot 3008 GT GT-line,125 000,2020,Automatique,Essence,89 000
MG HS Luxury,87 000,2020,Automatique,Essence,77 900
Mercedes-Benz GLA AMG,90 000,2021,Automatique,Essence,173 000
BMW Série 4 Coupé 420i,180 000,2015,Automatique,Essence,87 000
Chery Tiggo 7 Pro,40 000,2022,Automatique,Essence,88 000
Suzuki Jimny,20 000,2023,Automatique,Essence,98 000
Mercedes-Benz CLA Kit AMG,124 000,2014,Automatique,Essence,83 000
Citroën C3 Shine,88 000,2018,Manuelle,Essence,37 500
Mercedes-Benz Classe C coupé AMG,200 000,2012,Automatique,Essence,63 000
Renault Clio 4,120 000,2021,Manuelle,Essence,45 000
Mini 3 portes One,200 000,2009,Manuelle,Essence,29 000
Hyundai Tucson High Grade,19 000,2023,Automatique,Essence,129 000
Nissan Juke Tekna,53 000,2021,Automatique,Essence,87 000
Jeep Renegade,88 000,2021,Automatique,Essence,88 000
Mercedes-Benz Classe C AMG,120 000,2019,Automatique,Hybride,152 000
Ford Mondeo Hybride,34 000,2020,Automatique,Hybride,109 000
Land Rover Range Rover Evoque,145 000,2018,Automatique,Diesel,120 000
Volkswagen Passat,160 000,2016,Manuelle,Essence,59 000
Haval H6,16 000,2022,Automatique,Essence,117 000
Haval H6 Luxury,55 000,2021,Automatique,Essence,85 000
Volkswagen Golf 8 1.4,40 000,2022,Automatique,Essence,105 000
Jaguar F-Pace R_Dynamic,165 000,2017,Automatique,Diesel,179 000
Renault Kadjar,140 000,2018,Automatique,Essence,70 000
Toyota Corolla,24 000,2022,Automatique,Essence,79 000
Peugeot 308,128 000,2020,Manuelle,Essence,47 000
Mercedes-Benz Classe C coupé AMG,130 000,2018,Automatique,Essence,167 000
Citroën C3 Shine,45 000,2020,Manuelle,Essence,47 500
Ford Focus Titanium,200 000,2015,Manuelle,Essence,40 000
Porsche Panamera,82 000,2011,Automatique,Essence,178 000
KIA Seltos,130 000,2021,Automatique,Essence,89 000
Seat Ibiza FR,40 000,2023,Automatique,Essence,81 000
Alfa Romeo Giulietta,37 000,2019,Automatique,Essence,77 000
Land Rover Discovery R-DYNAMIC,87 000,2020,Automatique,Diesel,235 000
Volkswagen Golf 7 Confortline,190 000,2013,Automatique,Essence,49 000
Renault Megane 4 Diesel,125 000,2020,Manuelle,Diesel,64 500
KIA Rio 5p GT-Line,60 000,2021,Manuelle,Essence,65 000
Fiat Fiorino,120 000,2021,Manuelle,Diesel,35 000
Dacia Duster Techroad,35 000,2020,Manuelle,Essence,75 000
BMW Série 5 530e Xdrive Pack m,50 000,2021,Automatique,Hybride,278 000
BMW Série 4 Gran Coupé 418 Luxury,133 000,2016,Automatique,Essence,97 000
Volkswagen Passat R-Line DSG,40 000,2022,Automatique,Essence,125 000
Toyota Hilux Double Cabine Gr Sport,7 000,2024,Manuelle,Diesel,290 000
Toyota C-HR,55 000,2022,Automatique,Essence,91 000
Audi A5 Sportback S-Line,120 000,2019,Automatique,Essence,109 000
Peugeot 2008,100 000,2021,Manuelle,Diesel,80 000
KIA Rio 5p,85 000,2022,Manuelle,Essence,Sous leasing                    59 700
Honda CR-V,67 000,2018,Automatique,Essence,91 000
Audi Q5 S-line,40 000,2021,Automatique,Diesel,295 000
KIA Sportage Hybride,114 000,2021,Automatique,Hybride,107 000
KIA Sportage GT-Line,19 000,2021,Manuelle,Diesel,128 000
Dacia Duster Techroad,34 000,2020,Manuelle,Essence,76 000
Mercedes-Benz Classe S AMG,3 000,2022,Automatique,Hybride,660 000
BMW X5 Hybride Xdrive E45,19 000,2021,Automatique,Hybride,455 000
Hyundai Tucson Hybride Xcellence,120 000,2022,Automatique,Hybride,138 000
BMW Série 1 I Pack Sport,200 000,2019,Automatique,Essence,75 000
KIA Sportage GT-Line,140 000,2017,Automatique,Diesel,105 000
Mercedes-Benz Classe C AMG,50 000,2023,Automatique,Essence,235 000
Jaguar XE,140 000,2017,Automatique,Diesel,120 000
Peugeot Rifter,95 000,2020,Manuelle,Diesel,72 000
BMW Série 7 740LI,98 000,2010,Automatique,Essence,110 000
Peugeot Rifter 5 places,95 000,2020,Manuelle,Diesel,72 000
Land Rover Range Rover Evoque Hybride,50 000,2019,Automatique,Diesel,187 000
Ford Mondeo Hybride,32 000,2020,Automatique,Hybride,115 000
KIA Rio 5p GT-Line,64 000,2021,Manuelle,Essence,64 000
Mercedes-Benz GLC AMG,115 000,2017,Automatique,Essence,169 000
Mini 5 portes One,78 000,2016,Manuelle,Essence,57 000
Citroën C3 Shine,28 000,2020,Manuelle,Essence,48 000
Audi A3 Berline,50 000,2019,Automatique,Essence,85 000
KIA Sportage,127 000,2019,Automatique,Essence,83 500
Mercedes-Benz GLA AMG,12 000,2023,Automatique,Essence,Non dédouané                    235 000
Audi Q3,95 000,2017,Automatique,Essence,95 000
Mercedes-Benz GLB 200 d,111 000,2021,Automatique,Diesel,210 000
Audi A4 Face_lift,143 000,2016,Automatique,Essence,58 000
Land Rover Range Rover Evoque Face_lift,170 000,2016,Automatique,Essence,95 000
BMW Série 1 Pack M,40 000,2020,Automatique,Essence,135 000
Land Rover Range Rover Evoque Hybride,40 000,2019,Automatique,Diesel,195 000
Haval H6 Luxury,120 000,2020,Automatique,Essence,79 000
Iveco Daily Simple Cabine,40 000,2022,Manuelle,Diesel,105 000
Land Rover Discovery Sport,128 000,2017,Automatique,Diesel,128 000
Haval H6 Luxury,40 000,2021,Automatique,Essence,90 000
KIA Sportage Hybride,140 000,2020,Automatique,Hybride,98 000
KIA Sportage,125 000,2019,Automatique,Essence,85 000
Hyundai Tucson Hybride,80 000,2021,Automatique,Hybride,137 000
Audi Q5 QUATTRO 40 TDI,170 000,2019,Automatique,Diesel,165 000
Fiat Panda City Cross,52 000,2020,Manuelle,Essence,43 500
Volkswagen Golf 6 Match,240 000,2012,Manuelle,Diesel,45 000
Ford Ranger Raptor,100 000,2022,Automatique,Diesel,228 000
BMW Série 4 Coupé Pack M,140 000,2021,Automatique,Essence,130 000
Mercedes-Benz Classe B,100 000,2014,Manuelle,Essence,48 000
MG ZS Luxury,80 000,2022,Automatique,Essence,75 000
Land Rover Range Rover Evoque Hybride,60 000,2019,Automatique,Diesel,210 000
Renault Kadjar,70 000,2019,Manuelle,Essence,68 000
Mazda 3 Sky active,103 000,2017,Manuelle,Essence,56 000
Audi Q8 S_Line,16 000,2021,Automatique,Essence,398 000
Mercedes-Benz Classe C coupé AMG,50 000,2019,Automatique,Essence,173 000
MG ZS,35 000,2022,Manuelle,Essence,Sous leasing                    78 000
Suzuki Baleno,160 000,2017,Automatique,Essence,40 000
KIA Sportage,69 000,2019,Automatique,Essence,95 000
Ford Kuga,100 000,2017,Manuelle,Essence,69 000
Mercedes-Benz CLS AMG,160 000,2011,Automatique,Diesel,119 000
Mercedes-Benz GLA 180 Pack AMG,40 000,2022,Automatique,Essence,185 000
Seat Arona,26 000,2021,Manuelle,Essence,73 500
Toyota Corolla,90 000,2021,Automatique,Essence,71 000
Haval H6 Luxury,115 000,2020,Automatique,Essence,79 000
Skoda Superb Ambassador,30 000,2021,Automatique,Essence,125 000
MG 6,22 000,2021,Automatique,Essence,79 000
Mercedes-Benz GLC Coupé AMG,190 000,2017,Automatique,Diesel,189 000
Mercedes-Benz Classe C 180 elegance,170 000,2016,Automatique,Essence,89 000
Mercedes-Benz GLC Coupé AMG,69 000,2020,Automatique,Hybride,278 000
Mercedes-Benz Classe E 180,90 000,2018,Automatique,Essence,135 000
Ssangyong Actyon Sports,200 000,2017,Manuelle,Diesel,42 000
DS 3,138 000,2012,Automatique,Essence,35 000
Audi A3 Berline,17 000,2020,Manuelle,Essence,97 000
Nissan Qashqai,147 000,2011,Automatique,Essence,43 000
BMW Série 5 Confort Luxury,200 000,2015,Automatique,Essence,90 000
Volkswagen Passat R-Line,100 000,2019,Automatique,Essence,101 000
Land Rover Discovery Sport,160 000,2017,Automatique,Diesel,125 000
Citroën C3 Shine,90 000,2019,Manuelle,Essence,44 500
Volkswagen Amarok,370 000,2012,Manuelle,Diesel,49 000
Mercedes-Benz Classe E Business,8 000,2022,Automatique,Essence,Sous leasing                    291 800
Mini 3 portes one,140 000,2013,Manuelle,Essence,37 000
BMW Série 1,126 000,2017,Manuelle,Essence,68 000
